code,kind,term,parent_id,modifier_4,modifier_5
A162,category,"Tuberculosis of lung, without mention of bacteriological or histological confirmation",A16,,
A163,category,"Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation",A16,,
A164,category,"Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation",A16,,
A165,category,"Tuberculous pleurisy, without mention of bacteriological or histological confirmation",A16,,
A167,category,Primary respiratory tuberculosis without mention of bacteriological or histological confirmation,A16,,
A168,category,"Other respiratory tuberculosis, without mention of bacteriological or histological confirmation",A16,,
A169,category,"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation",A16,,
A17,category,Tuberculosis of nervous system,A15-A19,,
A170,category,Tuberculous meningitis (G01*),A17,,
A171,category,Meningeal tuberculoma (G07*),A17,,
A178,category,Other tuberculosis of nervous system,A17,,
A179,category,"Tuberculosis of nervous system, unspecified (G99.8*)",A17,,
A18,category,Tuberculosis of other organs,A15-A19,,
A180,category,Tuberculosis of bones and joints,A18,,
A181,category,Tuberculosis of genitourinary system,A18,,
A182,category,Tuberculous peripheral lymphadenopathy,A18,,
A183,category,"Tuberculosis of intestines, peritoneum and mesenteric glands",A18,,
A184,category,Tuberculosis of skin and subcutaneous tissue,A18,,
A185,category,Tuberculosis of eye,A18,,
A186,category,Tuberculosis of ear,A18,,
A187,category,Tuberculosis of adrenal glands (E35.1*),A18,,
A188,category,Tuberculosis of other specified organs,A18,,
A19,category,Miliary tuberculosis,A15-A19,,
A190,category,Acute miliary tuberculosis of a single specified site,A19,,
A191,category,Acute miliary tuberculosis of multiple sites,A19,,
A192,category,"Acute miliary tuberculosis, unspecified",A19,,
A198,category,Other miliary tuberculosis,A19,,
A199,category,"Miliary tuberculosis, unspecified",A19,,
A20-A28,block,Certain zoonotic bacterial diseases,I,,
A20,category,Plague,A20-A28,,
A200,category,Bubonic plague,A20,,
A201,category,Cellulocutaneous plague,A20,,
A202,category,Pneumonic plague,A20,,
A203,category,Plague meningitis,A20,,
A207,category,Septicaemic plague,A20,,
A208,category,Other forms of plague,A20,,
A209,category,"Plague, unspecified",A20,,
A21,category,Tularaemia,A20-A28,,
A210,category,Ulceroglandular tularaemia,A21,,
A211,category,Oculoglandular tularaemia,A21,,
A212,category,Pulmonary tularaemia,A21,,
A213,category,Gastrointestinal tularaemia,A21,,
A217,category,Generalized tularaemia,A21,,
A218,category,Other forms of tularaemia,A21,,
A219,category,"Tularaemia, unspecified",A21,,
A22,category,Anthrax,A20-A28,,
A220,category,Cutaneous anthrax,A22,,
A221,category,Pulmonary anthrax,A22,,
A222,category,Gastrointestinal anthrax,A22,,
A227,category,Anthrax sepsis,A22,,
A228,category,Other forms of anthrax,A22,,
A229,category,"Anthrax, unspecified",A22,,
A23,category,Brucellosis,A20-A28,,
A230,category,Brucellosis due to Brucella melitensis,A23,,
A231,category,Brucellosis due to Brucella abortus,A23,,
A232,category,Brucellosis due to Brucella suis,A23,,
A233,category,Brucellosis due to Brucella canis,A23,,
A238,category,Other brucellosis,A23,,
A239,category,"Brucellosis, unspecified",A23,,
A24,category,Glanders and melioidosis,A20-A28,,
A240,category,Glanders,A24,,
A241,category,Acute and fulminating melioidosis,A24,,
A242,category,Subacute and chronic melioidosis,A24,,
A243,category,Other melioidosis,A24,,
A244,category,"Melioidosis, unspecified",A24,,
A25,category,Rat-bite fevers,A20-A28,,
A250,category,Spirillosis,A25,,
A251,category,Streptobacillosis,A25,,
A259,category,"Rat-bite fever, unspecified",A25,,
A26,category,Erysipeloid,A20-A28,,
A260,category,Cutaneous erysipeloid,A26,,
A267,category,Erysipelothrix sepsis,A26,,
A268,category,Other forms of erysipeloid,A26,,
A269,category,"Erysipeloid, unspecified",A26,,
A27,category,Leptospirosis,A20-A28,,
A270,category,Leptospirosis icterohaemorrhagica,A27,,
A278,category,Other forms of leptospirosis,A27,,
A279,category,"Leptospirosis, unspecified",A27,,
A28,category,"Other zoonotic bacterial diseases, not elsewhere classified",A20-A28,,
A280,category,Pasteurellosis,A28,,
A281,category,Cat-scratch disease,A28,,
A282,category,Extraintestinal yersiniosis,A28,,
A288,category,"Other specified zoonotic bacterial diseases, not elsewhere classified",A28,,
A289,category,"Zoonotic bacterial disease, unspecified",A28,,
A30-A49,block,Other bacterial diseases,I,,
A30,category,Leprosy [Hansen disease],A30-A49,,
A300,category,Indeterminate leprosy,A30,,
A301,category,Tuberculoid leprosy,A30,,
A302,category,Borderline tuberculoid leprosy,A30,,
A303,category,Borderline leprosy,A30,,
A304,category,Borderline lepromatous leprosy,A30,,
A305,category,Lepromatous leprosy,A30,,
A308,category,Other forms of leprosy,A30,,
A309,category,"Leprosy, unspecified",A30,,
A31,category,Infection due to other mycobacteria,A30-A49,,
A310,category,Pulmonary mycobacterial infection,A31,,
A311,category,Cutaneous mycobacterial infection,A31,,
A318,category,Other mycobacterial infections,A31,,
A319,category,"Mycobacterial infection, unspecified",A31,,
A32,category,Listeriosis,A30-A49,,
A320,category,Cutaneous listeriosis,A32,,
A321,category,Listerial meningitis and meningoencephalitis,A32,,
A327,category,Listerial sepsis,A32,,
A328,category,Other forms of listeriosis,A32,,
A329,category,"Listeriosis, unspecified",A32,,
A33,category,Tetanus neonatorum,A30-A49,,
A34,category,Obstetrical tetanus,A30-A49,,
A35,category,Other tetanus,A30-A49,,
A36,category,Diphtheria,A30-A49,,
A360,category,Pharyngeal diphtheria,A36,,
A361,category,Nasopharyngeal diphtheria,A36,,
A362,category,Laryngeal diphtheria,A36,,
A363,category,Cutaneous diphtheria,A36,,
A368,category,Other diphtheria,A36,,
A369,category,"Diphtheria, unspecified",A36,,
A37,category,Whooping cough,A30-A49,,
A370,category,Whooping cough due to Bordetella pertussis,A37,,
A371,category,Whooping cough due to Bordetella parapertussis,A37,,
A378,category,Whooping cough due to other Bordetella species,A37,,
A379,category,"Whooping cough, unspecified",A37,,
A38,category,Scarlet fever,A30-A49,,
A39,category,Meningococcal infection,A30-A49,,
A390,category,Meningococcal meningitis (G01*),A39,,
A391,category,Waterhouse-Friderichsen syndrome (E35.1*),A39,,
A392,category,Acute meningococcaemia,A39,,
A393,category,Chronic meningococcaemia,A39,,
A394,category,"Meningococcaemia, unspecified",A39,,
A395,category,Meningococcal heart disease,A39,,
A398,category,Other meningococcal infections,A39,,
A399,category,"Meningococcal infection, unspecified",A39,,
A40,category,Streptococcal sepsis,A30-A49,,
A400,category,"Sepsis due to streptococcus, group A",A40,,
A401,category,"Sepsis due to streptococcus, group B",A40,,
A402,category,"Sepsis due to streptococcus, group D",A40,,
A403,category,Sepsis due to Streptococcus pneumoniae,A40,,
A408,category,Other streptococcal sepsis,A40,,
A409,category,"Streptococcal sepsis, unspecified",A40,,
A41,category,Other sepsis,A30-A49,,
A410,category,Sepsis due to Staphylococcus aureus,A41,,
A411,category,Sepsis due to other specified staphylococcus,A41,,
A412,category,Sepsis due to unspecified staphylococcus,A41,,
A413,category,Sepsis due to Haemophilus influenzae,A41,,
A414,category,Sepsis due to anaerobes,A41,,
A415,category,Sepsis due to other Gram-negative organisms,A41,,
A418,category,Other specified sepsis,A41,,
A419,category,"Sepsis, unspecified",A41,,
A42,category,Actinomycosis,A30-A49,,
A420,category,Pulmonary actinomycosis,A42,,
A421,category,Abdominal actinomycosis,A42,,
A422,category,Cervicofacial actinomycosis,A42,,
A427,category,Actinomycotic sepsis,A42,,
A428,category,Other forms of actinomycosis,A42,,
A429,category,"Actinomycosis, unspecified",A42,,
A43,category,Nocardiosis,A30-A49,,
A430,category,Pulmonary nocardiosis,A43,,
A431,category,Cutaneous nocardiosis,A43,,
A438,category,Other forms of nocardiosis,A43,,
A439,category,"Nocardiosis, unspecified",A43,,
A44,category,Bartonellosis,A30-A49,,
A440,category,Systemic bartonellosis,A44,,
A441,category,Cutaneous and mucocutaneous bartonellosis,A44,,
A448,category,Other forms of bartonellosis,A44,,
A449,category,"Bartonellosis, unspecified",A44,,
A46,category,Erysipelas,A30-A49,,
A48,category,"Other bacterial diseases, not elsewhere classified",A30-A49,,
A480,category,Gas gangrene,A48,,
A481,category,Legionnaires disease,A48,,
A482,category,Nonpneumonic Legionnaires disease [Pontiac fever],A48,,
A483,category,Toxic shock syndrome,A48,,
A484,category,Brazilian purpuric fever,A48,,
A488,category,Other specified bacterial diseases,A48,,
A49,category,Bacterial infection of unspecified site,A30-A49,,
A490,category,"Staphylococcal infection, unspecified site",A49,,
A491,category,"Streptococcal and enterococcal infection, unspecified site",A49,,
A492,category,"Haemophilus influenzae infection, unspecified site",A49,,
A493,category,"Mycoplasma infection, unspecified site",A49,,
A498,category,Other bacterial infections of unspecified site,A49,,
A499,category,"Bacterial infection, unspecified",A49,,
A50-A64,block,Infections with a predominantly sexual mode of transmission,I,,
A50,category,Congenital syphilis,A50-A64,,
A500,category,"Early congenital syphilis, symptomatic",A50,,
A501,category,"Early congenital syphilis, latent",A50,,
A502,category,"Early congenital syphilis, unspecified",A50,,
A503,category,Late congenital syphilitic oculopathy,A50,,
A504,category,Late congenital neurosyphilis [juvenile neurosyphilis],A50,,
A505,category,"Other late congenital syphilis, symptomatic",A50,,
A506,category,"Late congenital syphilis, latent",A50,,
A507,category,"Late congenital syphilis, unspecified",A50,,
A509,category,"Congenital syphilis, unspecified",A50,,
A51,category,Early syphilis,A50-A64,,
A510,category,Primary genital syphilis,A51,,
A511,category,Primary anal syphilis,A51,,
A512,category,Primary syphilis of other sites,A51,,
A513,category,Secondary syphilis of skin and mucous membranes,A51,,
A514,category,Other secondary syphilis,A51,,
A515,category,"Early syphilis, latent",A51,,
A519,category,"Early syphilis, unspecified",A51,,
A52,category,Late syphilis,A50-A64,,
A520,category,Cardiovascular syphilis,A52,,
A521,category,Symptomatic neurosyphilis,A52,,
A522,category,Asymptomatic neurosyphilis,A52,,
A523,category,"Neurosyphilis, unspecified",A52,,
A527,category,Other symptomatic late syphilis,A52,,
A528,category,"Late syphilis, latent",A52,,
A529,category,"Late syphilis, unspecified",A52,,
A53,category,Other and unspecified syphilis,A50-A64,,
A530,category,"Latent syphilis, unspecified as early or late",A53,,
A539,category,"Syphilis, unspecified",A53,,
A54,category,Gonococcal infection,A50-A64,,
A540,category,Gonococcal infection of lower genitourinary tract without periurethral or accessory gland abscess,A54,,
A541,category,Gonococcal infection of lower genitourinary tract with periurethral and accessory gland abscess,A54,,
A542,category,Gonococcal pelviperitonitis and other gonococcal genitourinary infections,A54,,
A543,category,Gonococcal infection of eye,A54,,
A544,category,Gonococcal infection of musculoskeletal system,A54,,
A545,category,Gonococcal pharyngitis,A54,,
A546,category,Gonococcal infection of anus and rectum,A54,,
A548,category,Other gonococcal infections,A54,,
A549,category,"Gonococcal infection, unspecified",A54,,
A55,category,Chlamydial lymphogranuloma (venereum),A50-A64,,
A56,category,Other sexually transmitted chlamydial diseases,A50-A64,,
A560,category,Chlamydial infection of lower genitourinary tract,A56,,
A561,category,Chlamydial infection of pelviperitoneum and other genitourinary organs,A56,,
A562,category,"Chlamydial infection of genitourinary tract, unspecified",A56,,
A563,category,Chlamydial infection of anus and rectum,A56,,
A564,category,Chlamydial infection of pharynx,A56,,
A568,category,Sexually transmitted chlamydial infection of other sites,A56,,
A57,category,Chancroid,A50-A64,,
A58,category,Granuloma inguinale,A50-A64,,
A59,category,Trichomoniasis,A50-A64,,
A590,category,Urogenital trichomoniasis,A59,,
A598,category,Trichomoniasis of other sites,A59,,
A599,category,"Trichomoniasis, unspecified",A59,,
A60,category,Anogenital herpesviral [herpes simplex] infection,A50-A64,,
A600,category,Herpesviral infection of genitalia and urogenital tract,A60,,
A601,category,Herpesviral infection of perianal skin and rectum,A60,,
A609,category,"Anogenital herpesviral infection, unspecified",A60,,
A63,category,"Other predominantly sexually transmitted diseases, not elsewhere classified",A50-A64,,
A630,category,Anogenital (venereal) warts,A63,,
A638,category,Other specified predominantly sexually transmitted diseases,A63,,
A64,category,Unspecified sexually transmitted disease,A50-A64,,
A65-A69,block,Other spirochaetal diseases,I,,
A65,category,Nonvenereal syphilis,A65-A69,,
A66,category,Yaws,A65-A69,,
A660,category,Initial lesions of yaws,A66,,
A661,category,Multiple papillomata and wet crab yaws,A66,,
A662,category,Other early skin lesions of yaws,A66,,
A663,category,Hyperkeratosis of yaws,A66,,
A664,category,Gummata and ulcers of yaws,A66,,
A665,category,Gangosa,A66,,
A666,category,Bone and joint lesions of yaws,A66,,
A667,category,Other manifestations of yaws,A66,,
A668,category,Latent yaws,A66,,
A669,category,"Yaws, unspecified",A66,,
A67,category,Pinta [carate],A65-A69,,
A670,category,Primary lesions of pinta,A67,,
A671,category,Intermediate lesions of pinta,A67,,
A672,category,Late lesions of pinta,A67,,
A673,category,Mixed lesions of pinta,A67,,
A679,category,"Pinta, unspecified",A67,,
A68,category,Relapsing fevers,A65-A69,,
A680,category,Louse-borne relapsing fever,A68,,
A681,category,Tick-borne relapsing fever,A68,,
A689,category,"Relapsing fever, unspecified",A68,,
A69,category,Other spirochaetal infections,A65-A69,,
A690,category,Necrotizing ulcerative stomatitis,A69,,
A691,category,Other Vincent infections,A69,,
A692,category,Lyme disease,A69,,
A698,category,Other specified spirochaetal infections,A69,,
A699,category,"Spirochaetal infection, unspecified",A69,,
A70-A74,block,Other diseases caused by chlamydiae,I,,
A70,category,Chlamydia psittaci infection,A70-A74,,
A71,category,Trachoma,A70-A74,,
A710,category,Initial stage of trachoma,A71,,
A711,category,Active stage of trachoma,A71,,
A719,category,"Trachoma, unspecified",A71,,
A74,category,Other diseases caused by chlamydiae,A70-A74,,
A740,category,Chlamydial conjunctivitis (H13.1*),A74,,
A748,category,Other chlamydial diseases,A74,,
A749,category,"Chlamydial infection, unspecified",A74,,
A75-A79,block,Rickettsioses,I,,
A75,category,Typhus fever,A75-A79,,
A750,category,Epidemic louse-borne typhus fever due to Rickettsia prowazekii,A75,,
A751,category,Recrudescent typhus [Brill disease],A75,,
A752,category,Typhus fever due to Rickettsia typhi,A75,,
A753,category,Typhus fever due to Rickettsia tsutsugamushi,A75,,
A759,category,"Typhus fever, unspecified",A75,,
A77,category,Spotted fever [tick-borne rickettsioses],A75-A79,,
A770,category,Spotted fever due to Rickettsia rickettsii,A77,,
A771,category,Spotted fever due to Rickettsia conorii,A77,,
A772,category,Spotted fever due to Rickettsia sibirica,A77,,
A773,category,Spotted fever due to Rickettsia australis,A77,,
A778,category,Other spotted fevers,A77,,
A779,category,"Spotted fever, unspecified",A77,,
A78,category,Q fever,A75-A79,,
A79,category,Other rickettsioses,A75-A79,,
A790,category,Trench fever,A79,,
A791,category,Rickettsialpox due to Rickettsia akari,A79,,
A798,category,Other specified rickettsioses,A79,,
A799,category,"Rickettsiosis, unspecified",A79,,
A80-A89,block,Viral infections of the central nervous system,I,,
A80,category,Acute poliomyelitis,A80-A89,,
A800,category,"Acute paralytic poliomyelitis, vaccine-associated",A80,,
A801,category,"Acute paralytic poliomyelitis, wild virus, imported",A80,,
A802,category,"Acute paralytic poliomyelitis, wild virus, indigenous",A80,,
A803,category,"Acute paralytic poliomyelitis, other and unspecified",A80,,
A804,category,Acute nonparalytic poliomyelitis,A80,,
A809,category,"Acute poliomyelitis, unspecified",A80,,
A81,category,Atypical virus infections of central nervous system,A80-A89,,
A810,category,Creutzfeldt-Jakob disease,A81,,
A811,category,Subacute sclerosing panencephalitis,A81,,
A812,category,Progressive multifocal leukoencephalopathy,A81,,
A818,category,Other atypical virus infections of central nervous system,A81,,
A819,category,"Atypical virus infection of central nervous system, unspecified",A81,,
A82,category,Rabies,A80-A89,,
A820,category,Sylvatic rabies,A82,,
A821,category,Urban rabies,A82,,
A829,category,"Rabies, unspecified",A82,,
A83,category,Mosquito-borne viral encephalitis,A80-A89,,
A830,category,Japanese encephalitis,A83,,
A831,category,Western equine encephalitis,A83,,
A832,category,Eastern equine encephalitis,A83,,
A833,category,St Louis encephalitis,A83,,
A834,category,Australian encephalitis,A83,,
A835,category,California encephalitis,A83,,
A836,category,Rocio virus disease,A83,,
A838,category,Other mosquito-borne viral encephalitis,A83,,
A839,category,"Mosquito-borne viral encephalitis, unspecified",A83,,
A84,category,Tick-borne viral encephalitis,A80-A89,,
A840,category,Far Eastern tick-borne encephalitis [Russian spring-summer encephalitis],A84,,
A841,category,Central European tick-borne encephalitis,A84,,
A848,category,Other tick-borne viral encephalitis,A84,,
A849,category,"Tick-borne viral encephalitis, unspecified",A84,,
A85,category,"Other viral encephalitis, not elsewhere classified",A80-A89,,
A850,category,Enteroviral encephalitis (G05.1*),A85,,
A851,category,Adenoviral encephalitis (G05.1*),A85,,
A852,category,"Arthropod-borne viral encephalitis, unspecified",A85,,
A858,category,Other specified viral encephalitis,A85,,
A86,category,Unspecified viral encephalitis,A80-A89,,
A87,category,Viral meningitis,A80-A89,,
A870,category,Enteroviral meningitis (G02.0*),A87,,
A871,category,Adenoviral meningitis (G02.0*),A87,,
A872,category,Lymphocytic choriomeningitis,A87,,
A878,category,Other viral meningitis,A87,,
A879,category,"Viral meningitis, unspecified",A87,,
A88,category,"Other viral infections of central nervous system, not elsewhere classified",A80-A89,,
A880,category,Enteroviral exanthematous fever [Boston exanthem],A88,,
A881,category,Epidemic vertigo,A88,,
A888,category,Other specified viral infections of central nervous system,A88,,
A89,category,Unspecified viral infection of central nervous system,A80-A89,,
A92-A99,block,Arthropod-borne viral fevers and viral haemorrhagic fevers,I,,
A92,category,Other mosquito-borne viral fevers,A92-A99,,
A920,category,Chikungunya virus disease,A92,,
A921,category,O'nyong-nyong fever,A92,,
A922,category,Venezuelan equine fever,A92,,
A923,category,West Nile virus infection,A92,,
A924,category,Rift Valley fever,A92,,
A928,category,Other specified mosquito-borne viral fevers,A92,,
A929,category,"Mosquito-borne viral fever, unspecified",A92,,
A93,category,"Other arthropod-borne viral fevers, not elsewhere classified",A92-A99,,
A930,category,Oropouche virus disease,A93,,
A931,category,Sandfly fever,A93,,
A932,category,Colorado tick fever,A93,,
A938,category,Other specified arthropod-borne viral fevers,A93,,
A94,category,Unspecified arthropod-borne viral fever,A92-A99,,
A95,category,Yellow fever,A92-A99,,
A950,category,Sylvatic yellow fever,A95,,
A951,category,Urban yellow fever,A95,,
A959,category,"Yellow fever, unspecified",A95,,
A96,category,Arenaviral haemorrhagic fever,A92-A99,,
A960,category,Junin haemorrhagic fever,A96,,
A961,category,Machupo haemorrhagic fever,A96,,
A962,category,Lassa fever,A96,,
A968,category,Other arenaviral haemorrhagic fevers,A96,,
A969,category,"Arenaviral haemorrhagic fever, unspecified",A96,,
A97,category,Dengue,A92-A99,,
A970,category,Dengue without warning signs,A97,,
A971,category,Dengue with warning signs,A97,,
A972,category,Severe Dengue,A97,,
A979,category,"Dengue, unspecified",A97,,
A98,category,"Other viral haemorrhagic fevers, not elsewhere classified",A92-A99,,
A980,category,Crimean-Congo haemorrhagic fever,A98,,
A981,category,Omsk haemorrhagic fever,A98,,
A982,category,Kyasanur Forest disease,A98,,
A983,category,Marburg virus disease,A98,,
A984,category,Ebola virus disease,A98,,
A985,category,Haemorrhagic fever with renal syndrome,A98,,
A988,category,Other specified viral haemorrhagic fevers,A98,,
A99,category,Unspecified viral haemorrhagic fever,A92-A99,,
B00-B09,block,Viral infections characterized by skin and mucous membrane lesions,I,,
B00,category,Herpesviral [herpes simplex] infections,B00-B09,,
B000,category,Eczema herpeticum,B00,,
B001,category,Herpesviral vesicular dermatitis,B00,,
B002,category,Herpesviral gingivostomatitis and pharyngotonsillitis,B00,,
B003,category,Herpesviral meningitis (G02.0*),B00,,
B004,category,Herpesviral encephalitis (G05.1*),B00,,
B005,category,Herpesviral ocular disease,B00,,
B007,category,Disseminated herpesviral disease,B00,,
B008,category,Other forms of herpesviral infection,B00,,
B009,category,"Herpesviral infection, unspecified",B00,,
B01,category,Varicella [chickenpox],B00-B09,,
B010,category,Varicella meningitis (G02.0*),B01,,
B011,category,Varicella encephalitis (G05.1*),B01,,
B012,category,Varicella pneumonia (J17.1*),B01,,
B018,category,Varicella with other complications,B01,,
B019,category,Varicella without complication,B01,,
B02,category,Zoster [herpes zoster],B00-B09,,
B020,category,Zoster encephalitis (G05.1*),B02,,
B021,category,Zoster meningitis (G02.0*),B02,,
B022,category,Zoster with other nervous system involvement,B02,,
B023,category,Zoster ocular disease,B02,,
B027,category,Disseminated zoster,B02,,
B028,category,Zoster with other complications,B02,,
B029,category,Zoster without complication,B02,,
B03,category,Smallpox,B00-B09,,
B04,category,Monkeypox,B00-B09,,
B05,category,Measles,B00-B09,,
B050,category,Measles complicated by encephalitis (G05.1*),B05,,
B051,category,Measles complicated by meningitis (G02.0*),B05,,
B052,category,Measles complicated by pneumonia (J17.1*),B05,,
B053,category,Measles complicated by otitis media (H67.1*),B05,,
B054,category,Measles with intestinal complications,B05,,
B058,category,Measles with other complications,B05,,
B059,category,Measles without complication,B05,,
B06,category,Rubella [German measles],B00-B09,,
B060,category,Rubella with neurological complications,B06,,
B068,category,Rubella with other complications,B06,,
B069,category,Rubella without complication,B06,,
B07,category,Viral warts,B00-B09,,
B08,category,"Other viral infections characterized by skin and mucous membrane lesions, not elsewhere classified",B00-B09,,
B080,category,Other orthopoxvirus infections,B08,,
B081,category,Molluscum contagiosum,B08,,
B082,category,Exanthema subitum [sixth disease],B08,,
B083,category,Erythema infectiosum [fifth disease],B08,,
B084,category,Enteroviral vesicular stomatitis with exanthem,B08,,
B085,category,Enteroviral vesicular pharyngitis,B08,,
B088,category,Other specified viral infections characterized by skin and mucous membrane lesions,B08,,
B09,category,Unspecified viral infection characterized by skin and mucous membrane lesions,B00-B09,,
B15-B19,block,Viral hepatitis,I,,
B15,category,Acute hepatitis A,B15-B19,,
B150,category,Hepatitis A with hepatic coma,B15,,
B159,category,Hepatitis A without hepatic coma,B15,,
B16,category,Acute hepatitis B,B15-B19,,
B160,category,Acute hepatitis B with delta-agent (coinfection) with hepatic coma,B16,,
B161,category,Acute hepatitis B with delta-agent (coinfection) without hepatic coma,B16,,
B162,category,Acute hepatitis B without delta-agent with hepatic coma,B16,,
B169,category,Acute hepatitis B without delta-agent and without hepatic coma,B16,,
B17,category,Other acute viral hepatitis,B15-B19,,
B170,category,Acute delta-(super)infection of hepatitis B carrier,B17,,
B171,category,Acute hepatitis C,B17,,
B172,category,Acute hepatitis E,B17,,
B178,category,Other specified acute viral hepatitis,B17,,
B179,category,"Acute viral hepatitis, unspecified",B17,,
B18,category,Chronic viral hepatitis,B15-B19,,
B180,category,Chronic viral hepatitis B with delta-agent,B18,,
B181,category,Chronic viral hepatitis B without delta-agent,B18,,
B182,category,Chronic viral hepatitis C,B18,,
B188,category,Other chronic viral hepatitis,B18,,
B189,category,"Chronic viral hepatitis, unspecified",B18,,
B19,category,Unspecified viral hepatitis,B15-B19,,
B190,category,Unspecified viral hepatitis with hepatic coma,B19,,
B199,category,Unspecified viral hepatitis without hepatic coma,B19,,
B20-B24,block,Human immunodeficiency virus [HIV] disease,I,,
